iter	Passed	Remaining
0	96	6480
1	109	3606
2	119	2593
3	129	2078
4	139	1759
5	149	1544
6	158	1383
7	168	1264
8	171	1122
9	181	1050
10	183	948
11	192	899
12	193	819
13	202	780
14	212	749
15	214	695
16	222	668
17	224	624
18	233	601
19	242	581
20	251	563
21	261	545
22	270	530
23	280	514
24	290	499
25	300	484
26	309	469
27	318	454
28	327	440
29	336	425
30	344	411
31	353	397
32	361	383
33	371	371
34	380	359
35	390	346
36	399	334
37	407	321
38	415	309
39	425	297
40	434	286
41	443	274
42	452	263
43	461	251
44	470	240
45	480	229
46	489	218
47	498	207
48	507	196
49	516	185
50	526	175
51	535	164
52	544	154
53	553	143
54	562	132
55	571	122
56	580	112
57	591	102
58	601	91
59	610	81
60	618	71
61	627	60
62	636	50
63	645	40
64	654	30
65	664	20
66	673	10
67	682	0
