Logistic Regression
Class,precision,recall,f1-score,support
0,0.86,0.92,0.89,126
1,0.91,0.84,0.87,117


KNN
Class,precision,recall,f1-score,support
0,0.95,0.92,0.94,126
1,0.92,0.95,0.93,117


SVM
Class,precision,recall,f1-score,support
0,0.93,0.92,0.92,126
1,0.92,0.92,0.92,117


Decision Tree
Class,precision,recall,f1-score,support
0,0.93,0.98,0.95,126
1,0.97,0.92,0.95,117


Random Forest
Class,precision,recall,f1-score,support
0,0.97,0.94,0.95,126
1,0.93,0.97,0.95,117


XGBoost
Class,precision,recall,f1-score,support
0,0.96,0.96,0.96,126
1,0.96,0.96,0.96,117


AdaBoost
Class,precision,recall,f1-score,support
0,0.94,0.94,0.94,126
1,0.94,0.94,0.94,117


CatBoost
Class,precision,recall,f1-score,support
0,0.98,0.94,0.96,126
1,0.94,0.97,0.96,117


Gradient Boosting
Class,precision,recall,f1-score,support
0,0.97,0.98,0.97,126
1,0.97,0.97,0.97,117


